CMDLINE /opt/homebrew/opt/python@3.9/bin/python3.9 triangle_packing.py
MEM 5.531250 1637122055.7912
MEM 34.031250 1637122055.8964
MEM 55.281250 1637122056.0020
MEM 61.171875 1637122056.1042
MEM 82.453125 1637122056.2093
MEM 98.265625 1637122056.3144
MEM 109.718750 1637122056.4195
MEM 109.890625 1637122056.5245
MEM 109.937500 1637122056.6295
MEM 110.000000 1637122056.7345
MEM 110.000000 1637122056.8396
MEM 110.000000 1637122056.9446
MEM 110.000000 1637122057.0496
MEM 110.000000 1637122057.1547
MEM 110.000000 1637122057.2597
MEM 110.000000 1637122057.3647
MEM 110.265625 1637122057.4698
MEM 110.343750 1637122057.5748
MEM 110.390625 1637122057.6798
MEM 110.390625 1637122057.7849
MEM 110.390625 1637122057.8899
MEM 110.390625 1637122057.9949
MEM 110.390625 1637122058.0999
MEM 110.390625 1637122058.2050
MEM 110.390625 1637122058.3100
MEM 110.390625 1637122058.4150
MEM 110.390625 1637122058.5200
MEM 110.390625 1637122058.6251
MEM 110.390625 1637122058.7301
MEM 110.390625 1637122058.8351
MEM 110.390625 1637122058.9401
MEM 110.390625 1637122059.0451
MEM 110.390625 1637122059.1502
