CMDLINE /opt/homebrew/opt/python@3.9/bin/python3.9 leapfrog_trijoin.py
MEM 0.906250 1637122180.9683
MEM 33.125000 1637122181.0736
MEM 53.109375 1637122181.1788
MEM 71.234375 1637122181.2839
MEM 85.187500 1637122181.3891
MEM 87.218750 1637122181.4942
MEM 89.703125 1637122181.5993
MEM 92.125000 1637122181.7043
MEM 94.531250 1637122181.8093
MEM 96.484375 1637122181.9144
MEM 99.125000 1637122182.0195
MEM 101.734375 1637122182.1224
MEM 104.343750 1637122182.2275
MEM 107.140625 1637122182.3325
MEM 109.031250 1637122182.4353
MEM 111.843750 1637122182.5403
MEM 114.468750 1637122182.6454
MEM 117.171875 1637122182.7504
MEM 119.140625 1637122182.8555
MEM 121.859375 1637122182.9606
MEM 124.484375 1637122183.0656
MEM 127.218750 1637122183.1707
MEM 129.781250 1637122183.2757
MEM 131.453125 1637122183.3808
MEM 134.171875 1637122183.4859
MEM 136.890625 1637122183.5909
MEM 139.578125 1637122183.6959
MEM 142.359375 1637122183.8010
MEM 145.031250 1637122183.9060
MEM 146.859375 1637122184.0111
MEM 149.109375 1637122184.1162
MEM 151.843750 1637122184.2212
MEM 154.468750 1637122184.3264
MEM 157.250000 1637122184.4314
MEM 160.046875 1637122184.5365
MEM 162.812500 1637122184.6415
MEM 165.578125 1637122184.7465
MEM 166.781250 1637122184.8516
MEM 169.390625 1637122184.9540
MEM 172.109375 1637122185.0590
MEM 174.937500 1637122185.1640
MEM 177.359375 1637122185.2692
MEM 179.750000 1637122185.3742
MEM 182.203125 1637122185.4792
MEM 184.609375 1637122185.5843
MEM 187.046875 1637122185.6893
MEM 189.078125 1637122185.7944
MEM 190.640625 1637122185.8995
MEM 193.421875 1637122186.0046
MEM 196.250000 1637122186.1096
MEM 199.015625 1637122186.2146
MEM 195.328125 1637122186.3190
MEM 196.484375 1637122186.4241
MEM 199.234375 1637122186.5292
MEM 202.015625 1637122186.6342
MEM 204.750000 1637122186.7393
MEM 207.453125 1637122186.8443
MEM 210.250000 1637122186.9493
MEM 211.343750 1637122187.0545
MEM 213.343750 1637122187.1595
MEM 216.109375 1637122187.2646
MEM 218.890625 1637122187.3696
MEM 221.625000 1637122187.4746
MEM 224.468750 1637122187.5797
MEM 227.203125 1637122187.6847
MEM 229.843750 1637122187.7897
MEM 232.640625 1637122187.8948
MEM 235.421875 1637122187.9998
MEM 238.171875 1637122188.1048
MEM 241.046875 1637122188.2099
MEM 243.312500 1637122188.3149
MEM 242.890625 1637122188.4200
MEM 239.500000 1637122188.5252
MEM 239.578125 1637122188.6303
MEM 242.187500 1637122188.7353
MEM 244.875000 1637122188.8403
MEM 248.781250 1637122188.9454
MEM 251.140625 1637122189.0504
MEM 253.515625 1637122189.1555
MEM 255.890625 1637122189.2605
MEM 258.281250 1637122189.3655
MEM 260.640625 1637122189.4706
MEM 263.328125 1637122189.5756
MEM 265.937500 1637122189.6807
MEM 268.703125 1637122189.7857
MEM 271.453125 1637122189.8907
MEM 274.140625 1637122189.9958
MEM 276.890625 1637122190.1008
MEM 279.484375 1637122190.2058
MEM 282.265625 1637122190.3109
MEM 284.921875 1637122190.4159
MEM 286.078125 1637122190.5161
MEM 286.437500 1637122190.6212
MEM 289.187500 1637122190.7262
MEM 291.906250 1637122190.8312
MEM 294.500000 1637122190.9363
MEM 297.125000 1637122191.0414
MEM 299.890625 1637122191.1464
MEM 302.515625 1637122191.2514
MEM 305.328125 1637122191.3565
MEM 308.031250 1637122191.4615
MEM 310.593750 1637122191.5665
MEM 313.296875 1637122191.6716
MEM 315.953125 1637122191.7766
MEM 318.734375 1637122191.8817
MEM 321.437500 1637122191.9867
MEM 324.234375 1637122192.0917
MEM 326.921875 1637122192.1968
MEM 329.671875 1637122192.3018
MEM 332.312500 1637122192.4068
MEM 334.906250 1637122192.5119
MEM 337.593750 1637122192.6164
MEM 339.375000 1637122192.7215
MEM 339.375000 1637122192.8266
MEM 339.375000 1637122192.9317
MEM 339.375000 1637122193.0368
MEM 339.375000 1637122193.1419
MEM 339.375000 1637122193.2469
MEM 338.453125 1637122193.3520
MEM 337.734375 1637122193.4571
MEM 337.734375 1637122193.5622
MEM 337.468750 1637122193.6672
MEM 333.734375 1637122193.7723
MEM 333.734375 1637122193.8773
MEM 333.734375 1637122193.9824
MEM 333.734375 1637122194.0875
MEM 333.734375 1637122194.1925
MEM 333.734375 1637122194.2976
MEM 333.734375 1637122194.4027
MEM 333.734375 1637122194.5077
MEM 333.734375 1637122194.6128
MEM 333.734375 1637122194.7165
MEM 333.437500 1637122194.8217
MEM 333.437500 1637122194.9267
MEM 333.437500 1637122195.0318
MEM 333.437500 1637122195.1369
MEM 333.437500 1637122195.2419
MEM 333.437500 1637122195.3469
MEM 333.437500 1637122195.4520
MEM 333.437500 1637122195.5570
MEM 333.437500 1637122195.6621
MEM 333.437500 1637122195.7672
MEM 333.437500 1637122195.8722
MEM 333.437500 1637122195.9773
MEM 333.437500 1637122196.0823
MEM 333.437500 1637122196.1874
MEM 333.437500 1637122196.2924
MEM 333.437500 1637122196.3974
MEM 333.437500 1637122196.5025
MEM 333.437500 1637122196.6075
MEM 333.437500 1637122196.7126
MEM 333.437500 1637122196.8131
MEM 331.859375 1637122196.9182
MEM 331.859375 1637122197.0237
MEM 331.859375 1637122197.1287
MEM 331.859375 1637122197.2338
MEM 331.859375 1637122197.3388
MEM 331.859375 1637122197.4439
MEM 331.859375 1637122197.5489
MEM 331.859375 1637122197.6539
MEM 331.859375 1637122197.7590
MEM 331.859375 1637122197.8640
MEM 331.859375 1637122197.9691
MEM 331.859375 1637122198.0742
MEM 331.859375 1637122198.1792
MEM 331.859375 1637122198.2842
MEM 331.859375 1637122198.3892
MEM 331.859375 1637122198.4943
MEM 331.859375 1637122198.5993
MEM 331.953125 1637122198.7044
MEM 319.296875 1637122198.8096
MEM 310.781250 1637122198.9148
MEM 310.781250 1637122199.0200
MEM 162.359375 1637122199.1251
